timestep,MFN-A2C + DSR,MFN-A2C + PV,A2C + DSR,A2C + PV
190,8208.5884186584,7874.2387430198605,8212.780533218476,8272.960478306652
191,8214.61580814044,7897.2911304285935,8215.573305829099,8279.925574223224
192,8072.73343298627,7696.175278863774,8077.137183617309,8143.640235710415
193,8302.61189357542,7959.779688536199,8299.56015281938,8372.328184004482
194,8203.964411344265,7848.703472747077,8208.274443240494,8274.899006723846
195,8328.89647175209,8001.852680551322,8325.847225937867,8401.298194019722
196,8813.471725053962,8548.820121960296,8752.475119286568,8881.154630277932
197,8832.42322309984,8608.689334798713,8771.702998555245,8897.406244848373
198,8700.071529669185,8430.58277430902,8644.265357579648,8766.82077601989
199,8678.199203717702,8404.309207684371,8619.596473287753,8753.750617706195
200,8663.045215844435,8375.248762907955,8605.00554076106,8736.581302463517
201,8397.158900754877,8074.6343837838995,8364.062392681593,8486.061567854635
202,8488.05067565929,8175.874064080142,8453.807623145985,8573.778003734878
203,8529.114771683473,8225.758540767773,8491.665002833866,8618.74202399842
204,8617.12169953967,8307.540150236196,8576.898938115108,8711.856150145093
205,8656.760800098218,8345.233967355673,8617.489789331868,8752.532194392697
206,8692.94677367837,8373.792313834401,8651.573457229159,8790.118983207092
207,8721.014107563713,8405.384391134838,8678.17862530498,8818.997354503792
208,8773.189247381202,8432.716619495704,8732.191689457364,8868.532938374177
209,8743.327652595111,8412.599117715064,8705.436511524365,8839.36412765937
210,8696.202306221452,8366.280118980303,8660.989052506562,8790.775943727424
211,8777.874498229083,8465.160358530668,8737.192816424496,8870.609223580406
212,8794.015084900817,8500.906485098698,8752.175796244073,8885.617140014401
213,8983.655451242594,8730.017463932818,8950.17885307135,9077.133469148108
214,8950.15646838118,8678.185091467607,8915.98088495688,9043.433324344487
215,8961.100322309172,8688.24665608035,8929.68912143547,9054.161020141286
216,8928.52048182761,8631.284654177829,8900.347428570323,9022.095269520763
217,8904.952460915696,8599.51050840815,8878.104784553681,9001.179064122796
218,8880.529504857139,8549.271914397304,8853.466507691375,8974.95488562726
219,8817.511705235966,8474.283166409341,8788.708298293395,8910.383809209277
220,8814.362895425482,8470.779147210684,8784.909048441068,8908.341619317029
221,8821.861791185444,8495.400822313117,8791.766509250418,8915.874222259104
222,8907.398769158015,8604.189305806378,8880.52473928231,9005.392341231327
223,8900.623410518268,8620.295699157918,8874.769467797543,8995.799625553534
224,8968.3396276121,8726.82168743492,8934.438295702294,9072.519695882138
225,8832.580486914467,8552.728170026336,8798.665910751275,8944.780575514847
226,8878.864946037955,8591.762013689722,8846.887878579775,8992.802583254126
227,8852.55838340663,8548.461995060543,8821.344135954427,8967.48231347842
228,8922.622676958757,8616.42447990814,8892.364303182978,9036.925788453356
229,8938.777865099235,8641.68319011855,8910.340107134687,9053.82983549128
230,8894.742493902044,8593.291394446502,8861.988231668149,9006.54165094052
231,8820.513223838896,8522.574263000643,8778.469954431366,8930.364248541431
232,8773.055648077709,8478.759785449976,8730.024290473732,8879.725213343005
233,8733.688690498902,8414.241497256653,8690.97422647487,8838.407105611435
234,8764.499920852535,8451.026055912835,8718.875664195542,8870.8864737766
235,8704.8124945055,8356.246902796038,8655.711337552792,8807.431282456255
236,8737.614080803918,8417.398490416817,8692.312055854967,8842.8314736886
237,8762.502700492962,8440.53765257764,8711.826410630183,8868.442176879202
238,8762.764044774403,8447.265661390315,8711.686569283547,8869.225429203407
239,8715.430481869249,8396.360734360353,8664.990833110583,8822.832784893399
240,8718.171612964517,8407.572392833366,8666.46559565603,8827.447677131468
241,8784.197058907892,8471.407203341301,8732.866711973196,8898.098785445745
242,8775.752707302967,8465.627978423625,8723.387569731285,8886.188255407435
243,8772.788714247976,8462.945015505562,8721.191060820845,8881.273698615478
244,8780.859417665537,8465.43380052496,8729.642911739502,8887.947725914437
245,8781.527529585814,8466.679769367951,8729.611005415127,8888.825450835133
246,8787.627086540193,8472.711739864471,8737.54485629825,8893.959778535702
247,8784.129403190676,8464.887234735796,8733.792530956816,8890.023716350808
248,8805.14084997212,8500.442272514914,8753.253378165547,8909.499266563553
249,8798.889240106448,8496.304439759986,8746.839439311736,8904.130894563144
250,8824.864844847458,8520.313609709394,8767.436606190062,8930.745865927856
251,8804.088938240657,8498.35395423432,8744.835947515034,8910.556602120208
252,8841.717271442194,8537.11801266153,8782.280195179252,8945.778175118898
253,8844.24527844726,8538.87948433219,8782.049881623281,8947.428801742608
254,8828.035916465979,8514.387384607997,8766.270312420405,8931.261089360274
255,8827.841394442841,8523.533546230501,8761.871043360337,8928.865450034504
256,8839.843809907225,8549.825459622809,8771.4884979377,8940.260050394338
257,8849.111225005749,8556.151821027526,8780.982090949494,8948.783022881553
258,8863.941384212867,8565.55690236649,8797.495063141183,8964.350286975854
259,8843.006292421955,8541.04581478904,8778.24378696427,8944.996730778965
260,8767.00646237813,8447.855257433792,8705.967480668985,8869.96029253433
261,8774.22333605637,8443.942413042985,8712.09721517651,8877.174310121383
262,8839.506959203292,8505.434528542879,8778.721024864257,8936.433600071992
263,8864.956560398166,8528.289831717291,8804.04402024327,8963.418975866336
264,9015.99171820864,8709.707401250029,8951.881135220458,9121.909454323031
265,9071.321692159892,8766.728611532182,9010.38996168357,9179.345384556373
266,9024.597387436685,8698.308202458693,8967.4615391719,9132.795543799555
267,9045.04877685869,8708.662769571722,8989.507921943276,9155.176089262168
268,8925.062051847766,8540.713151079131,8863.228230767283,9026.11016731296
269,8927.652838565013,8547.82233061902,8866.231433728346,9029.026823281734
270,8960.163061205274,8571.368867237363,8900.338913590194,9059.292485463448
271,9046.30530603697,8699.919776316128,8993.029137881726,9143.251372397352
272,9069.425999401808,8737.033512991793,9015.476858299216,9168.37122647157
273,9276.300987702309,8964.664733370853,9206.33061917141,9366.160483359745
274,9283.511513340016,8950.21476110696,9216.72379878734,9372.67973278484
275,9431.2500601039,9150.763216021714,9357.407595346913,9516.899561090404
276,9490.65891338178,9235.240375853777,9413.057379084628,9572.339914175802
277,9506.29737787371,9240.203152057516,9431.462907291449,9587.78311188972
278,9469.144721651415,9203.995962883975,9395.873323738326,9547.60588191114
279,9436.15561095613,9163.26565676862,9362.090969225776,9511.037568259835
280,9403.829555008397,9110.989527401647,9333.78380731978,9475.88494684965
281,9435.699373362935,9155.532929446,9362.911933267747,9508.9410876541
282,9348.109185782672,9065.927989411886,9279.366325064968,9425.21713665505
283,9324.87505908347,9033.727751403498,9255.806528370736,9403.387843017608
284,9311.64193368116,8998.422690478767,9243.316505251469,9387.389053201245
285,9374.965302623184,9047.400475206923,9301.430142832956,9446.150888346703
286,9381.527230871476,9047.863277870978,9309.56644161402,9452.547569665756
287,9426.04342822623,9090.82830960456,9359.741011546326,9499.078091807944
288,9389.06934043992,9058.953412064093,9323.936470451305,9460.479732891825
289,9459.839488780352,9144.225913503926,9387.63611463146,9530.86768803342
290,9512.85327468716,9183.591416242338,9428.96722434454,9578.922499200424
291,9553.70845459494,9225.743056704943,9462.582731833234,9616.048894249025
292,9552.001761237596,9211.803229892925,9461.480436174155,9613.091367577772
293,9499.708101725046,9140.421734918918,9412.044059306929,9556.27780196224
294,9550.076050492384,9198.219989456267,9458.506898210871,9609.50145031063
295,9540.296187508886,9199.118889531132,9449.85905003552,9599.91401484789
296,9490.13837682911,9151.56923464472,9399.240823867533,9550.245330928608
297,9544.774098450322,9227.334117094832,9450.834597624009,9604.685243505248
298,9568.672583630949,9262.399632124288,9478.191737021723,9626.97458356084
299,9580.587471403887,9273.3152771904,9488.987877469704,9638.1503074585
300,9521.277325286208,9206.964623131138,9432.715744680678,9579.7608073052
301,9492.691065409872,9169.955282874163,9404.043925560156,9551.737044086842
302,9513.2454592464,9188.920998782707,9421.408154646191,9573.409854501686
303,9495.618892727856,9156.66785245588,9404.024494399466,9556.795895766549
304,9558.634294825888,9235.044862176352,9465.866491159188,9621.43679294165
305,9483.445615743003,9163.790131482516,9394.83073499598,9544.12545552401
306,9479.754215062852,9151.53336112952,9391.08638627345,9542.106965975656
307,9570.029243807749,9233.308696842165,9476.272424334864,9631.05277435261
308,9599.735286029503,9269.248178871325,9498.283080581336,9659.899699474548
309,9435.655201022277,9077.7902330384,9315.9010689921,9484.345078027914
310,9527.503914750523,9189.383757312533,9406.014686400298,9581.183716509202
