timestep,MFN-A2C,A2C,Buy-and-Hold
484,11257.203892661177,11068.903864146158,11349.546869001775
485,11187.656894865208,11000.094730799934,11220.296735990389
486,11161.477605765118,10974.603662569321,11204.232005259582
487,11139.938507366713,10953.38974727067,11141.704650080776
488,11216.989065173397,11029.34245826375,11114.449859671538
489,11071.866581000097,10866.626752678145,11123.958879242224
490,11043.63663219961,10838.586678755806,11187.957692811366
491,11173.283803949378,10955.466502903795,11285.51379170124
492,11292.697486477942,11062.519580982986,11348.448990363224
493,11252.781278409466,11024.632551906434,11408.00165174429
494,11261.1593522953,11032.15148826079,11378.894760018004
495,11118.343590128006,10886.674877491314,11395.93479994801
496,11030.019585899405,10800.38956138438,11268.822477398617
497,10996.22655020642,10766.863171776433,11318.849751671589
498,10965.901608564644,10737.266652427632,11272.369167578128
499,10886.2364005731,10662.638776123224,11414.995890298418
500,10919.504936689757,10695.609928489679,11471.82850161267
501,10861.61437563223,10637.834735234028,11564.23219446468
502,10789.883292974975,10564.586546803765,11581.796996686402
503,10637.159590642548,10417.501698307806,11492.287415663175
504,10569.329436356496,10349.872003104047,11457.6419419603
505,10603.603002232288,10386.861132864502,11430.152690760704
506,10597.65017727199,10380.55605551958,11521.214369282488
507,10691.453301092775,10467.080288588182,11343.648191048418
508,10716.013915218387,10489.222496368177,11311.871273579463
509,10691.082785564484,10464.993888589255,11469.99529480507
510,10667.140417296248,10440.716566196848,11615.877265290084
511,10644.166834266442,10417.388237975149,11563.381032906284
512,10623.668364899377,10397.829408741358,11576.215187330685
513,10696.35737101195,10466.898008742965,11388.92406507632
514,10715.779133715849,10486.306548396286,11285.339504771033
515,10764.539743709773,10533.100755439918,11245.295149904076
516,10673.712004358427,10444.14706778348,11214.802817271666
517,10741.481300242773,10510.041141541958,11116.015272076193
518,10640.607653951853,10410.319307034906,11161.656172370578
519,10734.703895482937,10506.73890449456,11090.304459958052
520,10742.427786858145,10516.12250486521,10999.663366253291
521,10870.710515726092,10641.347259122043,10814.223293792402
522,10865.113822924064,10637.744498057926,10733.475918735136
523,10855.555854348187,10625.888031672706,10773.17362711382
524,10838.421501221586,10606.12044156944,10764.92612056117
525,10911.721177781556,10679.07062695429,10874.340017165609
526,10911.686123916832,10680.35019436478,10902.258054476852
527,10834.912667448853,10607.17044078818,10873.20812399904
528,10912.053797488865,10679.473822075395,10840.672009113954
529,10913.787036426036,10682.628093584255,10813.498783431436
530,10892.522346750564,10661.58995807895,10784.122951252451
531,10936.421488162849,10705.689285218275,10874.503573170508
532,10856.749900041534,10632.380028048994,10898.566660137356
533,10802.170261714251,10580.504863095552,10961.423032661854
