timestep,Proposed Method,A2C,DQN,Buy and Hold
716,10747.021489629919,10542.026294476198,10462.902868983823,10789.193780191486
717,10731.665036824892,10527.263598823469,10447.256571172851,10953.160473239714
718,10738.487546568953,10533.050235273857,10447.256571239048,11155.705937390783
719,10775.399154053554,10568.205997808316,10447.256571606355,11059.1236718376
720,10754.222554208507,10548.927086943711,10426.080883545545,11057.52161805517
721,10748.662587882109,10543.825610983493,10426.080883490602,11210.046348515114
722,10772.73848506068,10568.028258886365,10453.150859475392,11219.665644237608
723,10858.703094820112,10655.869660807906,10453.150860336076,11096.128965492013
724,10825.17228831972,10624.485479721809,10456.304814313393,11169.596163406308
725,10858.73026703818,10660.133858278765,10457.40869865619,11164.023768411102
726,10868.70954906664,10665.336352574304,10421.29592196106,11124.360577206498
727,10876.494186625469,10670.873671072291,10452.046976509935,10996.381581479682
728,10827.900366392008,10629.277504608368,10444.477485704116,11055.87413833978
729,10765.597591548858,10573.443274276024,10392.594936775677,10894.578971271392
730,10771.691584057777,10579.108681552401,10430.757783924171,10859.33372214951
731,10776.837588102915,10583.243447799014,10424.765270794896,10924.236668927524
732,10760.736072177287,10567.047455998396,10404.264567651757,10949.22816336626
733,10801.150583689592,10603.965047656931,10404.89535891698,10930.323872911733
734,10828.03426009723,10627.144412267686,10425.553759870338,10939.696737890832
735,10795.615580449525,10595.826309488852,10378.771408374894,10919.8757578012
736,10879.122721363326,10682.189163970714,10422.767294642532,10926.286696004308
737,10896.173701863974,10697.433377540656,10417.563480399069,10968.375497227356
738,10864.85973830582,10667.143373980012,10433.01723196776,10944.360074384247
739,10916.642104939854,10715.082012991083,10448.628675693706,10939.702864335912
740,10927.874430398364,10724.415947089165,10428.917257586392,10964.84913754444
741,10961.95091661592,10754.483859556563,10446.420997282006,11077.016745276862
742,11176.812229984,10954.643954242765,10553.65111446386,11035.686988375615
743,11173.698491304958,10952.044418610396,10544.66270772423,11084.579247681177
744,11189.433887147155,10967.356046539859,10544.662707874673,11095.91724264547
745,11211.091515566404,10988.204656816755,10562.74825914594,11102.65810959716
746,11189.825609375046,10967.44358862979,10536.799424805944,11046.113639240828
747,11189.891481669862,10970.976816382175,10507.862543111696,10968.924599393104
748,11325.135217981056,11110.982365380672,10629.900697696603,10978.628182733004
749,11580.290205327236,11354.976417525775,10785.27917364244,10984.384102022756
750,11639.842682013108,11409.746101314968,10842.523874978595,10962.351794168058
751,11622.3332221051,11390.352656142204,10770.967998855043,11012.501711125486
752,11664.821518658757,11433.064616002714,10824.595589817396,11048.809781524098
753,11646.66747739572,11407.88248349118,10808.239960856865,11005.98537803701
754,11748.803836720544,11506.918918350912,10808.239961823982,11108.72869148522
755,11616.400949184264,11395.519254081197,10755.05841899984,11127.56122893321
756,11659.199763521274,11437.994465379012,10755.058419407836,11084.660532317286
757,11611.78824424928,11395.446256513766,10751.183748015486,11149.44352575453
758,11612.20644252701,11394.930995184988,10758.307553837558,11162.390181978008
759,11467.791362757793,11267.497791286762,10758.30755246052,11206.09893414871
760,11550.944074506817,11336.204009731504,10799.738521013329,11483.145299783288
761,11552.538845311588,11338.445546924277,10799.738521029549,11476.004312340048
762,11580.245693923507,11365.062364046087,10799.738521297191,11494.580967580941
763,11634.403248429106,11416.445532011188,10799.738521807896,11523.272259508984
764,11652.55422927169,11433.854481334656,10799.738521978574,11494.61652480218
765,11719.052857034723,11492.495804230948,10799.738522610323,11493.95811107636
766,11728.339084680052,11500.361015568293,10799.738522696967,11668.818797918058
767,11677.188289415471,11462.752804552338,10811.137334670611,12001.501225484206
768,11832.317331828228,11600.610881694518,10811.137336145805,12078.68749156988
769,11919.844280910203,11686.246064163162,10811.137336957245,12062.40812964192
770,11888.615102014504,11658.586763222238,10811.137336666585,12116.65303460196
771,11749.033035768687,11525.135314159495,10811.137335357653,12077.243618632412
772,11720.9367492356,11499.28169323688,10811.13733509146,12216.38343053725
773,11742.494183554736,11518.153823674098,10811.137335293835,12056.64896249769
774,11517.453760105229,11311.787647140023,10811.13733315988,12108.64466017131
775,11543.808915813033,11332.568864693714,10881.736836381988,12059.99745203848
776,11562.51266721601,11351.496076855256,10905.270004220894,12058.830267971896
777,11623.005920210888,11407.686568368124,10947.096856649596,11881.649708739998
778,11674.495745581817,11459.754020968769,10971.135277736685,11979.43029904451
779,11822.55650997509,11602.355254922471,10971.135279175323,11982.179987025644
780,11771.10061975704,11547.88161580346,10938.377551901194,12018.131035933024
781,11858.136860199347,11635.394447071045,11005.48318721118,12078.839579231915
782,11884.079123964972,11662.433612023631,11041.898330332882,12099.065360842318
783,11978.588876600314,11754.091182891536,11041.898331239732,12180.633835314822
784,12152.560963627991,11925.000107090897,11146.449517762325,12191.612808903052
785,12108.736169506588,11883.172322543527,11146.449517367451,12134.891639299727
786,12037.208071140964,11816.211923087303,11162.336836804589,12333.44281417582
787,12219.28906752948,11991.982176672229,11339.928763196433,12448.570080198402
788,12228.288649646343,11991.644507621151,11288.491598197572,12406.367691270383
